angle,dx,dy,true_dx,true_dy,response,contrast,entropy,gradient_energy,mean_brightness,sharpness,snr,median_brightness,psnr,ssim,ms_ssim,vif,fsim,deviation_dx,deviation_dy
-3.0,0.821,-3.79,0.0,0.0,0.417,0.155,7.222,0.005,0.458,1250.509,9.403,0.447,15.725,0.198,0.494,0.05,0.682,-0.821,3.79
-2.95,0.8,-3.735,0.0,0.0,0.421,0.154,7.222,0.005,0.454,1222.379,9.408,0.443,15.806,0.2,0.499,0.051,0.683,-0.8,3.735
-2.9,0.795,-3.715,0.0,0.0,0.426,0.154,7.222,0.005,0.454,1229.618,9.407,0.439,15.843,0.203,0.504,0.052,0.684,-0.795,3.715
-2.85,0.928,-3.306,0.0,0.0,0.434,0.153,7.223,0.005,0.453,1234.588,9.402,0.439,15.898,0.205,0.51,0.053,0.685,-0.928,3.306
-2.8,0.709,-3.615,0.0,0.0,0.425,0.154,7.225,0.005,0.454,1256.206,9.4,0.439,15.916,0.208,0.515,0.054,0.686,-0.709,3.615
-2.75,0.863,-3.212,0.0,0.0,0.44,0.155,7.224,0.005,0.456,1264.942,9.399,0.443,15.937,0.21,0.521,0.055,0.687,-0.863,3.212
-2.7,0.812,-3.163,0.0,0.0,0.447,0.154,7.223,0.005,0.454,1240.34,9.402,0.443,16.002,0.213,0.527,0.056,0.687,-0.812,3.163
-2.65,0.808,-3.123,0.0,0.0,0.457,0.156,7.223,0.006,0.46,1265.929,9.403,0.447,15.98,0.214,0.531,0.057,0.688,-0.808,3.123
-2.6,0.782,-3.088,0.0,0.0,0.46,0.155,7.223,0.005,0.458,1250.331,9.403,0.443,16.05,0.217,0.537,0.058,0.689,-0.782,3.088
-2.55,0.762,-3.018,0.0,0.0,0.464,0.156,7.224,0.006,0.46,1270.017,9.402,0.447,16.069,0.22,0.543,0.059,0.69,-0.762,3.018
-2.5,0.728,-2.974,0.0,0.0,0.468,0.155,7.224,0.006,0.458,1266.555,9.396,0.443,16.133,0.223,0.55,0.061,0.691,-0.728,2.974
-2.45,0.704,-2.925,0.0,0.0,0.471,0.153,7.223,0.005,0.451,1233.385,9.393,0.435,16.256,0.228,0.558,0.063,0.693,-0.704,2.925
-2.4,0.695,-2.862,0.0,0.0,0.478,0.152,7.223,0.005,0.449,1235.46,9.391,0.435,16.315,0.231,0.564,0.064,0.694,-0.695,2.862
-2.35,0.675,-2.819,0.0,0.0,0.483,0.152,7.223,0.005,0.447,1226.847,9.386,0.435,16.379,0.236,0.571,0.066,0.695,-0.675,2.819
-2.3,0.671,-2.764,0.0,0.0,0.487,0.154,7.222,0.005,0.454,1252.441,9.393,0.439,16.365,0.239,0.578,0.067,0.697,-0.671,2.764
-2.25,0.653,-2.724,0.0,0.0,0.49,0.153,7.221,0.005,0.452,1219.513,9.397,0.439,16.444,0.243,0.585,0.069,0.698,-0.653,2.724
-2.2,0.637,-2.686,0.0,0.0,0.498,0.154,7.222,0.005,0.454,1211.072,9.403,0.439,16.484,0.247,0.592,0.071,0.7,-0.637,2.686
-2.15,0.644,-2.646,0.0,0.0,0.507,0.154,7.222,0.005,0.454,1211.919,9.403,0.439,16.539,0.252,0.599,0.073,0.702,-0.644,2.646
-2.1,0.612,-2.597,0.0,0.0,0.509,0.154,7.223,0.005,0.454,1230.211,9.399,0.439,16.592,0.256,0.607,0.074,0.703,-0.612,2.597
-2.05,0.621,-2.579,0.0,0.0,0.514,0.155,7.224,0.005,0.456,1264.323,9.392,0.443,16.628,0.261,0.615,0.076,0.704,-0.621,2.579
-2.0,0.608,-2.535,0.0,0.0,0.521,0.155,7.224,0.005,0.456,1276.813,9.388,0.443,16.686,0.266,0.623,0.079,0.706,-0.608,2.535
-1.95,0.185,-1.935,0.0,0.0,0.585,0.155,7.224,0.006,0.458,1284.413,9.386,0.443,16.73,0.272,0.631,0.081,0.707,-0.185,1.935
-1.9,0.165,-1.865,0.0,0.0,0.595,0.155,7.222,0.005,0.456,1247.356,9.392,0.443,16.827,0.278,0.639,0.083,0.709,-0.165,1.865
-1.85,0.144,-1.784,0.0,0.0,0.601,0.155,7.22,0.005,0.458,1226.436,9.399,0.443,16.888,0.285,0.647,0.086,0.711,-0.144,1.784
-1.8,0.123,-1.737,0.0,0.0,0.612,0.155,7.22,0.005,0.458,1214.966,9.401,0.443,16.969,0.291,0.656,0.088,0.713,-0.123,1.737
-1.75,0.113,-1.666,0.0,0.0,0.621,0.155,7.221,0.005,0.458,1225.238,9.399,0.443,17.047,0.298,0.665,0.091,0.715,-0.113,1.666
-1.7,0.086,-1.613,0.0,0.0,0.634,0.155,7.222,0.005,0.458,1246.253,9.394,0.443,17.124,0.304,0.674,0.094,0.717,-0.086,1.613
-1.65,0.083,-1.558,0.0,0.0,0.642,0.154,7.223,0.005,0.454,1254.056,9.389,0.439,17.25,0.313,0.683,0.098,0.719,-0.083,1.558
-1.6,0.063,-1.506,0.0,0.0,0.655,0.156,7.223,0.006,0.46,1304.791,9.382,0.447,17.265,0.321,0.692,0.1,0.722,-0.063,1.506
-1.55,0.057,-1.466,0.0,0.0,0.669,0.155,7.223,0.006,0.458,1294.22,9.381,0.443,17.387,0.33,0.702,0.104,0.724,-0.057,1.466
-1.5,0.05,-1.42,0.0,0.0,0.683,0.155,7.222,0.005,0.456,1244.044,9.389,0.443,17.522,0.34,0.711,0.108,0.727,-0.05,1.42
-1.45,0.058,-1.358,0.0,0.0,0.694,0.155,7.221,0.005,0.458,1225.44,9.393,0.443,17.616,0.35,0.721,0.112,0.73,-0.058,1.358
-1.4,0.04,-1.319,0.0,0.0,0.711,0.155,7.221,0.005,0.458,1223.272,9.393,0.443,17.73,0.36,0.731,0.116,0.733,-0.04,1.319
-1.35,0.048,-1.266,0.0,0.0,0.727,0.155,7.221,0.005,0.456,1220.755,9.393,0.443,17.87,0.371,0.741,0.121,0.736,-0.048,1.266
-1.3,0.049,-1.223,0.0,0.0,0.736,0.155,7.222,0.005,0.457,1247.441,9.387,0.443,17.967,0.382,0.752,0.125,0.739,-0.049,1.223
-1.25,0.041,-1.172,0.0,0.0,0.752,0.155,7.222,0.005,0.457,1269.822,9.382,0.443,18.092,0.394,0.762,0.13,0.743,-0.041,1.172
-1.2,-0.035,-0.78,0.0,0.0,0.864,0.155,7.222,0.006,0.457,1278.256,9.378,0.443,18.228,0.407,0.773,0.136,0.747,0.035,0.78
-1.15,-0.018,-0.736,0.0,0.0,0.871,0.154,7.221,0.005,0.454,1237.916,9.384,0.439,18.433,0.422,0.784,0.143,0.751,0.018,0.736
-1.1,-0.009,-0.694,0.0,0.0,0.882,0.155,7.22,0.005,0.457,1226.927,9.388,0.443,18.563,0.437,0.795,0.149,0.756,0.009,0.694
-1.05,0.002,-0.656,0.0,0.0,0.891,0.156,7.22,0.005,0.459,1237.521,9.389,0.447,18.711,0.452,0.806,0.155,0.761,-0.002,0.656
-1.0,0.018,-0.622,0.0,0.0,0.9,0.156,7.221,0.005,0.459,1247.243,9.385,0.447,18.89,0.468,0.817,0.163,0.767,-0.018,0.622
-0.95,0.025,-0.576,0.0,0.0,0.906,0.155,7.223,0.005,0.455,1248.153,9.381,0.443,19.137,0.485,0.828,0.171,0.772,-0.025,0.576
-0.9,0.029,-0.536,0.0,0.0,0.914,0.153,7.225,0.005,0.45,1236.302,9.374,0.435,19.407,0.502,0.84,0.181,0.778,-0.029,0.536
-0.85,0.028,-0.506,0.0,0.0,0.921,0.154,7.225,0.005,0.453,1271.813,9.374,0.439,19.611,0.522,0.852,0.19,0.784,-0.028,0.506
-0.8,0.036,-0.478,0.0,0.0,0.927,0.154,7.224,0.005,0.452,1251.928,9.373,0.439,19.9,0.544,0.864,0.201,0.792,-0.036,0.478
-0.75,0.07,-0.334,0.0,0.0,0.939,0.154,7.221,0.005,0.453,1202.085,9.387,0.439,20.206,0.568,0.876,0.214,0.8,-0.07,0.334
-0.7,0.077,-0.309,0.0,0.0,0.942,0.154,7.22,0.005,0.455,1182.286,9.39,0.443,20.521,0.592,0.888,0.227,0.809,-0.077,0.309
-0.65,0.087,-0.267,0.0,0.0,0.954,0.156,7.22,0.005,0.459,1214.942,9.387,0.447,20.801,0.617,0.899,0.24,0.818,-0.087,0.267
-0.6,0.074,-0.249,0.0,0.0,0.959,0.154,7.221,0.005,0.453,1229.422,9.372,0.439,21.238,0.641,0.91,0.256,0.828,-0.074,0.249
-0.55,0.067,-0.232,0.0,0.0,0.958,0.155,7.224,0.005,0.455,1294.986,9.356,0.443,21.592,0.665,0.92,0.272,0.838,-0.067,0.232
-0.5,0.064,-0.211,0.0,0.0,0.968,0.156,7.227,0.006,0.457,1345.102,9.347,0.443,22.0,0.691,0.93,0.291,0.849,-0.064,0.211
-0.45,0.069,-0.198,0.0,0.0,0.969,0.156,7.227,0.006,0.457,1341.929,9.352,0.443,22.55,0.721,0.94,0.314,0.861,-0.069,0.198
-0.4,0.065,-0.18,0.0,0.0,0.977,0.155,7.224,0.005,0.455,1256.806,9.378,0.443,23.32,0.757,0.951,0.344,0.875,-0.065,0.18
-0.35,0.052,-0.158,0.0,0.0,0.979,0.156,7.216,0.005,0.461,1138.219,9.418,0.447,24.182,0.799,0.961,0.378,0.891,-0.052,0.158
-0.3,0.046,-0.128,0.0,0.0,0.985,0.154,7.213,0.005,0.457,1057.221,9.432,0.443,25.446,0.84,0.971,0.42,0.907,-0.046,0.128
-0.25,0.036,-0.107,0.0,0.0,0.987,0.154,7.213,0.005,0.455,1072.376,9.427,0.443,26.84,0.878,0.979,0.467,0.925,-0.036,0.107
-0.2,0.033,-0.089,0.0,0.0,0.987,0.154,7.219,0.005,0.455,1191.505,9.392,0.443,28.456,0.912,0.986,0.521,0.943,-0.033,0.089
-0.15,0.013,-0.063,0.0,0.0,0.99,0.155,7.23,0.006,0.453,1403.783,9.332,0.439,30.558,0.942,0.991,0.586,0.961,-0.013,0.063
-0.1,0.007,-0.034,0.0,0.0,0.991,0.156,7.244,0.006,0.453,1744.936,9.243,0.439,33.339,0.967,0.996,0.663,0.977,-0.007,0.034
-0.05,0.003,-0.012,0.0,0.0,0.994,0.16,7.257,0.007,0.457,2265.695,9.125,0.447,36.469,0.985,0.998,0.763,0.991,-0.003,0.012
0.0,0.0,0.0,0.0,0.0,1.0,0.16,7.258,0.007,0.449,2846.011,8.984,0.443,100.0,1.0,1.0,1.0,1.0,0.0,0.0
0.05,-0.006,0.018,0.0,0.0,0.994,0.156,7.256,0.007,0.447,2185.444,9.127,0.439,37.456,0.985,0.998,0.77,0.99,0.006,-0.018
0.1,-0.023,0.046,0.0,0.0,0.992,0.156,7.243,0.006,0.451,1728.699,9.238,0.439,33.419,0.967,0.996,0.665,0.977,0.023,-0.046
0.15,-0.027,0.066,0.0,0.0,0.989,0.156,7.228,0.006,0.457,1420.242,9.324,0.443,30.396,0.943,0.991,0.585,0.961,0.027,-0.066
0.2,-0.031,0.084,0.0,0.0,0.99,0.154,7.217,0.005,0.453,1179.247,9.387,0.439,28.529,0.912,0.986,0.523,0.943,0.031,-0.084
0.25,-0.04,0.103,0.0,0.0,0.988,0.154,7.212,0.005,0.456,1080.06,9.417,0.443,26.82,0.879,0.979,0.468,0.925,0.04,-0.103
0.3,-0.051,0.121,0.0,0.0,0.988,0.155,7.211,0.005,0.458,1057.708,9.425,0.447,25.428,0.841,0.971,0.421,0.907,0.051,-0.121
0.35,-0.06,0.145,0.0,0.0,0.988,0.154,7.215,0.005,0.455,1106.027,9.406,0.443,24.353,0.799,0.961,0.381,0.889,0.06,-0.145
0.4,-0.067,0.165,0.0,0.0,0.98,0.154,7.223,0.005,0.453,1236.664,9.367,0.439,23.379,0.757,0.951,0.346,0.874,0.067,-0.165
0.45,-0.064,0.193,0.0,0.0,0.977,0.156,7.227,0.006,0.458,1346.782,9.34,0.447,22.545,0.721,0.94,0.314,0.86,0.064,-0.193
