angle,dx,dy,true_dx,true_dy,response,contrast,entropy,gradient_energy,mean_brightness,median_brightness,sharpness,dynamic_range,snr,motion_magnitude,delta_response,delta_entropy,delta_gradient_energy,delta_sharpness,delta_motion_mag,psnr,ssim,ms_ssim,vif,fsim,deviation_dx,deviation_dy
-2.0,0.196,-1.777,0.0,0.0,0.634,0.153,7.209,0.006,0.447,0.443,1306.961,1.0,9.315,1.788,-0.02,-0.0,0.0,9.921,0.114,16.823,0.296,0.677,0.094,0.718,-0.196,1.777
-1.9,0.172,-1.665,0.0,0.0,0.654,0.152,7.21,0.006,0.444,0.439,1297.04,1.0,9.309,1.674,-0.023,0.002,-0.0,-13.315,0.118,16.984,0.309,0.692,0.099,0.722,-0.172,1.665
-1.8,0.124,-1.551,0.0,0.0,0.677,0.154,7.208,0.006,0.451,0.447,1310.355,1.0,9.319,1.556,-0.018,0.001,0.0,52.435,0.086,17.076,0.323,0.707,0.105,0.726,-0.124,1.551
-1.7,0.103,-1.466,0.0,0.0,0.695,0.152,7.206,0.006,0.446,0.435,1257.919,1.0,9.328,1.47,-0.018,-0.001,-0.0,-56.107,0.123,17.301,0.34,0.723,0.112,0.731,-0.103,1.466
-1.6,0.07,-1.345,0.0,0.0,0.714,0.154,7.207,0.006,0.451,0.447,1314.026,1.0,9.321,1.347,-0.027,-0.002,0.0,-23.39,0.084,17.421,0.357,0.739,0.118,0.736,-0.07,1.345
-1.5,0.07,-1.261,0.0,0.0,0.741,0.153,7.209,0.006,0.447,0.443,1337.416,1.0,9.308,1.263,-0.022,-0.0,-0.0,5.585,0.095,17.639,0.376,0.756,0.127,0.741,-0.07,1.261
-1.4,0.047,-1.167,0.0,0.0,0.763,0.153,7.21,0.006,0.448,0.443,1331.831,1.0,9.309,1.168,-0.132,0.003,0.0,60.904,0.408,17.864,0.398,0.775,0.136,0.747,-0.047,1.167
-1.3,-0.047,-0.759,0.0,0.0,0.895,0.154,7.206,0.006,0.449,0.443,1270.927,1.0,9.329,0.76,-0.009,0.003,-0.0,-10.655,0.071,18.13,0.424,0.793,0.147,0.755,0.047,0.759
-1.2,-0.036,-0.688,0.0,0.0,0.905,0.154,7.204,0.006,0.451,0.447,1281.583,1.0,9.332,0.689,-0.011,-0.004,-0.0,-36.116,0.056,18.398,0.451,0.812,0.158,0.763,0.036,0.688
-1.1,-0.028,-0.632,0.0,0.0,0.916,0.154,7.207,0.006,0.449,0.443,1317.698,1.0,9.315,0.633,-0.002,-0.004,-0.0,-47.842,0.181,18.728,0.48,0.831,0.172,0.772,0.028,0.632
-1.0,0.002,-0.451,0.0,0.0,0.917,0.154,7.212,0.006,0.449,0.443,1365.54,1.0,9.304,0.451,-0.01,0.004,0.0,75.95,0.043,19.085,0.513,0.851,0.188,0.783,-0.002,0.451
-0.9,0.004,-0.408,0.0,0.0,0.927,0.153,7.208,0.006,0.448,0.443,1289.59,1.0,9.327,0.408,-0.008,0.002,0.0,66.981,0.046,19.599,0.553,0.872,0.208,0.795,-0.004,0.408
-0.8,0.007,-0.362,0.0,0.0,0.935,0.153,7.206,0.006,0.448,0.439,1222.608,1.0,9.345,0.362,-0.017,-0.002,-0.0,-76.889,0.036,20.204,0.597,0.892,0.231,0.81,-0.007,0.362
-0.7,0.018,-0.326,0.0,0.0,0.952,0.154,7.208,0.006,0.449,0.439,1299.497,1.0,9.323,0.326,-0.018,-0.004,-0.0,-103.87,0.038,20.792,0.64,0.911,0.255,0.826,-0.018,0.326
-0.6,0.021,-0.288,0.0,0.0,0.97,0.154,7.212,0.006,0.448,0.443,1403.367,1.0,9.289,0.289,-0.008,-0.002,-0.0,-17.715,0.036,21.486,0.686,0.928,0.286,0.844,-0.021,0.288
-0.5,0.031,-0.251,0.0,0.0,0.978,0.154,7.214,0.006,0.449,0.443,1421.082,1.0,9.286,0.253,-0.007,0.01,0.0,235.51,0.065,22.406,0.739,0.946,0.327,0.865,-0.031,0.251
-0.4,0.027,-0.186,0.0,0.0,0.984,0.153,7.205,0.006,0.45,0.443,1185.572,1.0,9.361,0.188,-0.007,0.004,-0.0,25.696,0.035,24.034,0.809,0.964,0.386,0.891,-0.027,0.186
-0.3,0.032,-0.149,0.0,0.0,0.991,0.154,7.201,0.006,0.453,0.443,1159.876,1.0,9.38,0.153,0.003,-0.01,-0.0,-241.385,0.048,26.129,0.877,0.978,0.459,0.922,-0.032,0.149
-0.2,0.015,-0.104,0.0,0.0,0.988,0.154,7.211,0.006,0.451,0.447,1401.261,1.0,9.314,0.105,-0.005,-0.024,-0.001,-587.683,0.041,29.128,0.933,0.99,0.555,0.953,-0.015,0.104
-0.1,0.015,-0.062,0.0,0.0,0.993,0.156,7.235,0.007,0.448,0.443,1988.944,1.0,9.157,0.063,0.348,0.027,0.001,702.319,-1.714,34.016,0.973,0.997,0.689,0.982,-0.015,0.062
0.0,0.0,0.0,0.0,0.0,1.0,0.16,7.241,0.008,0.446,0.439,3041.657,1.0,8.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.1,-0.002,0.042,0.0,0.0,0.993,0.155,7.234,0.007,0.444,0.439,1948.949,1.0,9.157,0.042,-0.007,-0.007,-0.001,-1092.708,0.042,33.916,0.973,0.996,0.69,0.98,0.002,-0.042
0.2,0.0,0.086,0.0,0.0,0.988,0.153,7.211,0.006,0.446,0.439,1369.16,1.0,9.315,0.086,-0.005,-0.023,-0.001,-579.788,0.044,29.198,0.931,0.989,0.558,0.952,0.0,-0.086
0.3,0.004,0.126,0.0,0.0,0.985,0.151,7.199,0.005,0.444,0.435,1115.649,1.0,9.383,0.126,-0.003,-0.012,-0.0,-253.511,0.04,26.232,0.875,0.978,0.463,0.92,-0.004,-0.126
0.4,-0.0,0.163,0.0,0.0,0.984,0.151,7.203,0.005,0.444,0.439,1154.708,1.0,9.365,0.163,-0.001,0.004,0.0,39.059,0.037,24.077,0.809,0.964,0.388,0.89,0.0,-0.163
0.5,-0.006,0.213,0.0,0.0,0.986,0.152,7.215,0.006,0.444,0.439,1385.79,1.0,9.291,0.213,0.002,0.012,0.0,231.082,0.05,22.458,0.739,0.946,0.328,0.864,0.006,-0.213
0.6,-0.003,0.267,0.0,0.0,0.975,0.154,7.214,0.006,0.45,0.443,1411.379,1.0,9.293,0.267,-0.01,-0.002,0.0,25.589,0.054,21.479,0.686,0.929,0.285,0.844,0.003,-0.267
0.7,0.004,0.316,0.0,0.0,0.963,0.154,7.209,0.006,0.45,0.439,1289.504,1.0,9.328,0.316,-0.012,-0.005,-0.0,-121.875,0.049,20.81,0.641,0.912,0.255,0.825,-0.004,-0.316
0.8,0.001,0.354,0.0,0.0,0.949,0.152,7.207,0.006,0.446,0.435,1202.001,1.0,9.351,0.354,-0.015,-0.002,-0.0,-87.503,0.038,20.24,0.597,0.893,0.231,0.808,-0.001,-0.354
0.9,0.01,0.404,0.0,0.0,0.933,0.153,7.21,0.006,0.448,0.443,1289.384,1.0,9.331,0.404,-0.016,0.003,0.0,87.383,0.049,19.623,0.554,0.874,0.208,0.794,-0.01,-0.404
1.0,0.015,0.526,0.0,0.0,0.933,0.153,7.212,0.006,0.446,0.439,1338.459,1.0,9.313,0.526,0.0,0.002,0.0,49.075,0.123,19.143,0.514,0.853,0.188,0.782,-0.015,-0.526
1.1,0.029,0.593,0.0,0.0,0.92,0.154,7.207,0.006,0.45,0.443,1306.772,1.0,9.326,0.594,-0.013,-0.005,0.0,-31.687,0.068,18.757,0.481,0.833,0.172,0.772,-0.029,-0.593
1.2,0.043,0.663,0.0,0.0,0.916,0.154,7.203,0.006,0.452,0.447,1272.541,1.0,9.343,0.664,-0.003,-0.004,-0.0,-34.232,0.07,18.432,0.452,0.814,0.158,0.763,-0.043,-0.663
1.3,0.06,0.732,0.0,0.0,0.894,0.153,7.206,0.006,0.45,0.443,1265.642,1.0,9.339,0.734,-0.022,0.002,-0.0,-6.899,0.07,18.164,0.424,0.795,0.147,0.755,-0.06,-0.732
1.4,0.011,1.135,0.0,0.0,0.76,0.152,7.209,0.006,0.444,0.439,1291.734,1.0,9.324,1.135,-0.134,0.003,-0.0,26.092,0.401,17.936,0.399,0.777,0.137,0.748,-0.011,-1.135
1.5,-0.0,1.21,0.0,0.0,0.736,0.153,7.211,0.006,0.448,0.443,1329.685,1.0,9.326,1.21,-0.024,0.002,0.0,37.951,0.075,17.684,0.377,0.759,0.127,0.741,0.0,-1.21
1.6,-0.003,1.301,0.0,0.0,0.718,0.154,7.208,0.006,0.452,0.447,1308.097,1.0,9.341,1.301,-0.017,-0.003,0.0,-21.588,0.091,17.468,0.359,0.742,0.119,0.736,0.003,-1.301
1.7,-0.023,1.403,0.0,0.0,0.693,0.153,7.206,0.006,0.448,0.443,1254.31,1.0,9.349,1.404,-0.025,-0.002,-0.0,-53.787,0.103,17.336,0.341,0.725,0.112,0.73,0.023,-1.403
1.8,-0.049,1.519,0.0,0.0,0.673,0.154,7.207,0.006,0.452,0.447,1301.858,1.0,9.342,1.519,-0.02,0.001,0.0,47.548,0.116,17.126,0.325,0.71,0.105,0.726,0.049,-1.519
1.9,-0.069,1.639,0.0,0.0,0.66,0.154,7.208,0.006,0.45,0.443,1329.498,1.0,9.331,1.641,-0.013,0.001,0.0,27.64,0.121,16.988,0.31,0.694,0.099,0.722,0.069,-1.639
2.0,-0.099,1.774,0.0,0.0,0.645,0.152,7.208,0.006,0.444,0.439,1286.625,1.0,9.338,1.777,-0.015,-0.001,-0.0,-42.873,0.136,16.91,0.298,0.68,0.094,0.718,0.099,-1.774
-2.0,0.537,-0.131,0.0,0.0,0.598,0.104,6.313,0.006,0.647,0.651,3232.995,1.0,15.902,0.552,-0.022,-0.005,0.0,10.455,0.053,17.4,0.086,0.492,0.049,0.761,-0.537,0.131
-1.9,0.481,-0.134,0.0,0.0,0.62,0.103,6.318,0.006,0.619,0.624,3222.54,1.0,15.577,0.499,-0.031,0.005,0.0,133.07,0.042,17.753,0.088,0.504,0.053,0.761,-0.481,0.134
-1.8,0.44,-0.125,0.0,0.0,0.651,0.102,6.312,0.005,0.608,0.612,3089.47,1.0,15.533,0.457,-0.027,0.008,-0.0,-103.205,0.058,17.845,0.091,0.517,0.057,0.762,-0.44,0.125
-1.7,0.377,-0.131,0.0,0.0,0.678,0.105,6.304,0.006,0.598,0.6,3192.675,1.0,15.117,0.399,-0.035,-0.004,-0.0,-239.258,0.035,17.734,0.094,0.526,0.06,0.765,-0.377,0.131
-1.6,0.349,-0.103,0.0,0.0,0.713,0.108,6.307,0.006,0.609,0.612,3431.933,1.0,15.017,0.364,-0.028,-0.009,-0.0,-305.318,0.048,17.691,0.099,0.537,0.063,0.767,-0.349,0.103
-1.5,0.301,-0.096,0.0,0.0,0.741,0.111,6.316,0.006,0.617,0.62,3737.251,1.0,14.883,0.316,-0.035,-0.003,-0.0,-55.94,0.051,17.589,0.103,0.549,0.068,0.769,-0.301,0.096
-1.4,0.247,-0.094,0.0,0.0,0.776,0.111,6.319,0.006,0.606,0.608,3793.191,1.0,14.704,0.264,-0.111,0.015,0.001,418.651,0.169,17.631,0.11,0.567,0.074,0.772,-0.247,0.094
-1.3,0.012,-0.095,0.0,0.0,0.887,0.107,6.304,0.006,0.595,0.596,3374.54,1.0,14.869,0.096,-0.014,0.002,-0.0,-59.295,0.015,17.788,0.12,0.591,0.081,0.773,-0.012,0.095
-1.2,-0.007,-0.081,0.0,0.0,0.901,0.108,6.302,0.006,0.601,0.604,3433.835,1.0,14.879,0.081,-0.013,-0.012,-0.0,-142.677,-0.006,17.852,0.131,0.613,0.088,0.777,0.007,0.081
-1.1,-0.017,-0.085,0.0,0.0,0.914,0.109,6.315,0.006,0.615,0.62,3576.512,1.0,15.048,0.087,-0.011,-0.008,-0.001,-432.005,-0.005,17.914,0.146,0.642,0.097,0.781,0.017,0.085
-1.0,-0.024,-0.088,0.0,0.0,0.925,0.114,6.322,0.007,0.622,0.627,4008.517,1.0,14.768,0.092,-0.008,0.012,0.0,395.743,-0.009,17.797,0.165,0.672,0.106,0.786,0.024,0.088
-0.9,-0.026,-0.097,0.0,0.0,0.933,0.11,6.311,0.006,0.602,0.604,3612.774,1.0,14.75,0.1,-0.011,0.02,0.0,218.119,0.007,18.114,0.193,0.712,0.12,0.79,0.026,0.097
-0.8,-0.034,-0.087,0.0,0.0,0.944,0.111,6.291,0.006,0.613,0.616,3394.656,1.0,14.87,0.093,-0.007,-0.012,-0.0,-101.799,0.001,18.378,0.231,0.748,0.135,0.795,0.034,0.087
-0.7,-0.036,-0.085,0.0,0.0,0.952,0.11,6.302,0.006,0.606,0.608,3496.455,1.0,14.802,0.092,-0.018,-0.027,-0.0,-307.139,0.02,18.646,0.281,0.786,0.154,0.802,0.036,0.085
