angle,dx,dy,true_dx,true_dy,response,contrast,entropy,gradient_energy,mean_brightness,median_brightness,sharpness,dynamic_range,snr,motion_magnitude,delta_response,delta_entropy,delta_gradient_energy,delta_sharpness,delta_motion_mag,psnr,ssim,ms_ssim,vif,fsim,deviation_dx,deviation_dy
0.0,0.0,0.0,0.0,0.0,1.0,0.16,7.241,0.008,0.446,0.439,3041.657,1.0,8.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.007,-11.993,0.0,-12.0,0.967,0.152,7.188,0.008,0.436,0.427,2947.768,1.0,9.126,11.993,-0.033,-0.053,-0.0,-93.889,11.993,14.178,0.103,0.14,0.01,0.657,-0.007,-0.007
0.0,0.002,-6.99,0.0,-7.0,0.978,0.155,7.214,0.008,0.437,0.431,2954.567,1.0,9.027,6.99,0.011,0.026,0.0,6.799,-5.003,14.84,0.114,0.296,0.017,0.668,-0.002,-0.01
0.0,-0.0,5.98,0.0,6.0,0.978,0.161,7.261,0.008,0.445,0.443,2993.034,1.0,8.843,5.98,-0.0,0.047,0.0,38.467,-1.009,15.037,0.121,0.361,0.023,0.672,0.0,0.02
0.0,0.0,7.988,0.0,8.0,0.983,0.163,7.266,0.008,0.45,0.447,3061.711,1.0,8.828,7.988,0.005,0.005,0.0,68.677,2.008,14.542,0.113,0.264,0.015,0.662,0.0,0.012
0.0,-9.996,1.995,-10.0,2.0,0.958,0.155,7.219,0.008,0.439,0.435,2935.356,1.0,9.046,10.193,-0.024,-0.047,-0.0,-126.355,2.205,14.466,0.102,0.208,0.014,0.649,-0.004,0.005
0.0,-9.997,7.984,-10.0,8.0,0.948,0.158,7.235,0.008,0.445,0.443,2993.843,1.0,8.976,12.793,-0.011,0.016,0.0,58.487,2.6,14.028,0.091,0.127,0.008,0.637,-0.003,0.016
0.0,-11.006,-9.99,-11.0,-10.0,0.939,0.151,7.169,0.008,0.439,0.431,2958.959,1.0,9.254,14.864,-0.008,-0.066,-0.0,-34.884,2.07,13.902,0.084,0.091,0.007,0.651,0.006,-0.01
0.0,-11.001,-13.99,-11.0,-14.0,0.928,0.148,7.152,0.007,0.433,0.427,2868.092,1.0,9.316,17.797,-0.011,-0.017,-0.0,-90.867,2.934,13.77,0.097,0.11,0.009,0.647,0.001,-0.01
0.0,-11.003,-1.993,-11.0,-2.0,0.955,0.154,7.204,0.008,0.439,0.431,2938.811,1.0,9.095,11.182,0.026,0.051,0.0,70.72,-6.615,14.202,0.083,0.159,0.008,0.643,0.003,-0.007
0.0,-11.009,-4.001,-11.0,-4.0,0.952,0.153,7.197,0.008,0.438,0.431,2944.266,1.0,9.121,11.714,-0.003,-0.006,0.0,5.455,0.531,14.149,0.084,0.136,0.007,0.643,0.009,0.001
0.0,-11.001,-4.993,-11.0,-5.0,0.95,0.153,7.193,0.008,0.438,0.431,2938.391,1.0,9.14,12.082,-0.002,-0.004,-0.0,-5.876,0.368,14.119,0.085,0.124,0.007,0.643,0.001,-0.007
0.0,-10.995,10.988,-11.0,11.0,0.937,0.158,7.238,0.008,0.445,0.443,2962.238,1.0,8.978,15.544,-0.013,0.045,0.0,23.848,3.462,13.804,0.08,0.091,0.006,0.636,-0.005,0.012
0.0,-11.004,0.998,-11.0,1.0,0.954,0.155,7.212,0.008,0.44,0.435,2940.866,1.0,9.072,11.049,0.017,-0.026,-0.0,-21.372,-4.495,14.301,0.095,0.184,0.012,0.646,0.004,0.002
0.0,-10.994,4.994,-11.0,5.0,0.949,0.155,7.225,0.008,0.438,0.435,2897.224,1.0,9.018,12.075,-0.005,0.013,-0.0,-43.642,1.026,14.263,0.111,0.188,0.012,0.646,-0.006,0.006
0.0,-11.997,-13.98,-12.0,-14.0,0.925,0.148,7.149,0.007,0.435,0.431,2884.435,1.0,9.339,18.422,-0.024,-0.076,-0.0,-12.789,6.347,13.715,0.091,0.097,0.008,0.645,-0.003,-0.02
0.0,-11.996,11.989,-12.0,12.0,0.93,0.158,7.235,0.008,0.445,0.447,2969.732,1.0,8.991,16.96,0.005,0.086,0.0,85.297,-1.462,13.741,0.085,0.098,0.007,0.635,-0.004,0.011
0.0,-12.0,3.998,-12.0,4.0,0.947,0.156,7.219,0.008,0.441,0.435,2951.111,1.0,9.046,12.649,0.017,-0.016,-0.0,-18.622,-4.311,14.183,0.108,0.186,0.013,0.646,-0.0,0.002
0.0,-11.998,5.995,-12.0,6.0,0.942,0.156,7.224,0.008,0.442,0.443,2935.634,1.0,9.025,13.412,-0.004,0.004,0.0,-15.477,0.764,14.118,0.108,0.173,0.011,0.644,-0.002,0.005
0.0,-13.005,0.007,-13.0,0.0,0.944,0.155,7.203,0.008,0.441,0.439,2945.057,1.0,9.116,13.005,0.002,-0.021,-0.0,9.423,-0.407,14.086,0.084,0.148,0.009,0.642,0.005,-0.007
0.0,-12.999,-12.989,-13.0,-13.0,0.924,0.148,7.149,0.007,0.434,0.427,2870.48,1.0,9.343,18.376,-0.02,-0.054,-0.0,-74.576,5.372,13.72,0.084,0.079,0.007,0.646,-0.001,-0.011
0.0,-13.011,-6.994,-13.0,-7.0,0.935,0.152,7.177,0.008,0.438,0.431,2937.339,1.0,9.223,14.772,0.011,0.028,0.0,66.858,-3.604,13.93,0.086,0.078,0.007,0.643,0.011,-0.006
0.0,-13.005,9.984,-13.0,10.0,0.928,0.155,7.228,0.008,0.437,0.435,2858.92,1.0,9.019,16.395,-0.007,0.052,-0.0,-78.418,1.623,13.933,0.097,0.131,0.009,0.634,0.005,0.016
0.0,-12.997,2.995,-13.0,3.0,0.944,0.155,7.212,0.008,0.441,0.435,2932.136,1.0,9.083,13.337,0.015,-0.016,0.0,73.216,-3.058,14.166,0.11,0.181,0.013,0.647,-0.003,0.005
0.0,-13.006,3.996,-13.0,4.0,0.942,0.155,7.216,0.008,0.441,0.435,2932.915,1.0,9.066,13.606,-0.002,0.003,0.0,0.779,0.268,14.131,0.105,0.182,0.013,0.646,0.006,0.004
0.0,-14.002,-3.995,-14.0,-4.0,0.938,0.153,7.187,0.008,0.441,0.435,2964.032,1.0,9.179,14.561,-0.004,-0.029,-0.0,31.117,0.955,13.959,0.085,0.105,0.007,0.639,0.002,-0.005
0.0,-14.002,-6.99,-14.0,-7.0,0.933,0.151,7.174,0.008,0.438,0.431,2940.875,1.0,9.239,15.65,-0.005,-0.013,-0.0,-23.156,1.089,13.898,0.086,0.07,0.007,0.641,0.002,-0.01
0.0,-13.999,3.997,-14.0,4.0,0.938,0.156,7.212,0.008,0.445,0.439,2973.464,1.0,9.086,14.558,0.005,0.039,0.0,32.589,-1.092,14.079,0.109,0.18,0.012,0.643,-0.001,0.003
0.0,-0.999,-3.994,-1.0,-4.0,0.982,0.157,7.225,0.008,0.442,0.439,3004.146,1.0,8.966,4.117,0.043,0.012,0.0,30.682,-10.441,15.971,0.204,0.532,0.052,0.706,-0.001,-0.006
0.0,-1.999,-0.009,-2.0,0.0,0.984,0.159,7.237,0.008,0.443,0.439,3005.227,1.0,8.93,1.999,0.003,0.013,0.0,1.081,-2.118,18.18,0.376,0.774,0.109,0.748,-0.001,0.009
0.0,-2.995,12.982,-3.0,13.0,0.952,0.161,7.267,0.008,0.444,0.443,2955.379,1.0,8.833,13.323,-0.032,0.03,-0.0,-49.848,11.324,13.903,0.086,0.083,0.006,0.644,-0.005,0.018
0.0,-2.998,2.995,-3.0,3.0,0.979,0.159,7.244,0.008,0.443,0.443,2986.049,1.0,8.911,4.238,0.027,-0.023,-0.0,30.67,-9.085,15.838,0.137,0.469,0.031,0.68,-0.002,0.005
0.0,-3.996,10.989,-4.0,11.0,0.957,0.161,7.261,0.008,0.447,0.447,2998.15,1.0,8.857,11.693,-0.022,0.017,0.0,12.101,7.456,14.012,0.078,0.084,0.005,0.642,-0.004,0.011
0.0,-4.006,0.997,-4.0,1.0,0.977,0.159,7.234,0.008,0.445,0.439,3027.411,1.0,8.953,4.128,0.02,-0.027,-0.0,29.261,-7.566,16.258,0.198,0.53,0.044,0.695,0.006,0.003
0.0,-4.996,-4.997,-5.0,-5.0,0.972,0.155,7.21,0.008,0.439,0.431,2960.681,1.0,9.038,7.066,-0.005,-0.024,-0.0,-66.729,2.938,14.986,0.128,0.336,0.018,0.668,-0.004,-0.003
0.0,-5.001,-8.995,-5.0,-9.0,0.959,0.151,7.191,0.007,0.431,0.427,2866.232,1.0,9.13,10.292,-0.013,-0.019,-0.0,-94.449,3.226,14.464,0.121,0.23,0.016,0.669,0.001,-0.005
0.0,-4.994,2.995,-5.0,3.0,0.975,0.158,7.238,0.008,0.442,0.443,2967.227,1.0,8.943,5.823,0.015,0.047,0.0,100.995,-4.469,15.378,0.132,0.374,0.024,0.672,-0.006,0.005
0.0,-4.999,7.992,-5.0,8.0,0.965,0.16,7.251,0.008,0.446,0.443,3004.2,1.0,8.891,9.426,-0.01,0.013,0.0,36.973,3.603,14.241,0.07,0.126,0.006,0.645,-0.001,0.008
0.0,-6.01,6.986,-6.0,7.0,0.964,0.16,7.246,0.008,0.446,0.443,3003.322,1.0,8.91,9.215,-0.001,-0.005,-0.0,-0.879,-0.211,14.316,0.072,0.147,0.007,0.644,0.01,0.014
0.0,-7.001,-9.982,-7.0,-10.0,0.95,0.151,7.181,0.008,0.434,0.427,2909.681,1.0,9.182,12.193,-0.014,-0.065,-0.0,-93.641,2.977,14.193,0.11,0.175,0.013,0.661,0.001,-0.018
0.0,-6.996,-1.989,-7.0,-2.0,0.971,0.155,7.216,0.008,0.438,0.435,2935.596,1.0,9.025,7.274,0.021,0.035,0.0,25.915,-4.919,14.862,0.104,0.29,0.013,0.657,-0.004,-0.011
0.0,-7.002,-6.99,-7.0,-7.0,0.961,0.153,7.197,0.008,0.437,0.431,2952.077,1.0,9.112,9.894,-0.01,-0.019,-0.0,16.481,2.62,14.391,0.094,0.205,0.011,0.656,0.002,-0.01
0.0,-7.002,-7.981,-7.0,-8.0,0.959,0.153,7.191,0.008,0.439,0.435,2959.364,1.0,9.135,10.617,-0.002,-0.006,0.0,7.287,0.724,14.308,0.1,0.195,0.011,0.658,0.002,-0.019
0.0,-9.001,-0.005,-9.0,0.0,0.963,0.156,7.216,0.008,0.44,0.435,2961.705,1.0,9.041,9.001,0.004,0.025,0.0,2.341,-1.616,14.543,0.101,0.233,0.013,0.653,0.001,0.005
0.0,-8.999,-1.998,-9.0,-2.0,0.962,0.155,7.21,0.008,0.439,0.435,2940.796,1.0,9.061,9.218,-0.002,-0.005,-0.0,-20.909,0.217,14.449,0.091,0.209,0.01,0.649,-0.001,-0.002
0.0,-8.999,-2.99,-9.0,-3.0,0.961,0.155,7.207,0.008,0.441,0.435,2976.074,1.0,9.07,9.483,-0.001,-0.003,0.0,35.278,0.265,14.41,0.089,0.196,0.009,0.649,-0.001,-0.01
